date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2022-01-30,0.4274712639555666,-1.1294150945325554,1.9843576224436887,-1.3652452738693064,-3.969873079443251,1.2393825317046383,3.6724050087653053,-0.8646702890503608,8.209480306580971,overall warnings,
2022-01-31,0.278585908847726,-1.2719293497811717,1.8291011674766238,-0.9982172437239843,-3.5838226974042278,1.5873882099562588,2.911266175188195,-0.5377472646288659,6.360279615005256,overall warnings,
2022-02-01,0.7050574244732929,-0.7874648298248551,2.197579678771441,-0.7995381415148288,-3.3541085253640035,1.7550322423343458,1.8839878456031607,-0.011541597645445822,3.779517288851767,overall warnings,
2022-02-02,-0.27782340676099165,-1.8032250965033572,1.2475782829813737,-6.365776339284022,-11.314062445804328,-1.4174902327637158,5.695583920210789,1.3995249136840764,9.991642926737502,overall warnings,
2022-02-03,1.3168073996500185,-0.20502027484021101,2.8386350741402477,-1.2352581002335896,-4.408960351825287,1.9384441513581077,2.813472641389403,-0.10624960683156859,5.733194889610374,overall warnings,
2022-02-04,0.33612789049336017,-1.2512167835406987,1.923472564527419,-0.8569042926200638,-3.434607914800166,1.7207993295600383,2.5482589945185343,-0.3993169665740286,5.495834955611097,overall warnings,
2022-02-05,-0.10421277831572798,-1.7468390665259446,1.5384135098944884,-0.6997993424088901,-3.3415236868883014,1.941925002070521,2.798363237119322,-0.6366629000473938,6.233389374286038,overall warnings,
2022-02-06,0.6737944355958837,-0.9883357222081018,2.335924593399869,-1.593252623045553,-4.161426091527545,0.9749208454364395,2.3471665329533384,-0.35431905313263545,5.048652119039312,overall warnings,
2022-02-07,1.1311137640507294,-0.4368880792622811,2.6991156073637397,-1.8252100309868546,-4.454189917886634,0.8037698559129249,2.2087816906053086,-0.243362955534288,4.660926336744906,overall warnings,
2022-02-08,0.42472116058796555,-1.2838849150119722,2.1333272361879034,-0.6812981745845179,-3.3262258429828733,1.9636294938138374,2.319913990955726,-0.2643532911197459,4.904181273031198,overall warnings,
2022-02-09,-0.08661570288101848,-1.760743378422909,1.5875119726608722,-0.48543558837363016,-3.137471974895779,2.1666007981485187,2.5322727120343593,-0.5036074059164073,5.5681528299851255,overall warnings,
2022-02-10,0.11714205550707002,-1.5215127498978926,1.7557968609120325,-0.666131115718249,-3.3169881596894513,1.984725928252953,2.2276055389802605,-0.17304671112361802,4.628257789084139,overall warnings,
2022-02-11,0.9584454801373766,-0.6471928795011314,2.5640838397758845,-1.297186805290006,-3.8848708661360014,1.2904972555559893,2.016544453164233,-0.10772283168517394,4.14081173801364,overall warnings,
2022-02-12,1.3429819986636533,-0.3414404310827459,3.0274044284100525,-1.2397629377245039,-3.9637291899244245,1.484203314475417,2.1392550349511836,-0.20299506641537945,4.481505136317747,overall warnings,
2022-02-13,0.6086244390515665,-1.0451579942704812,2.262406872373614,-1.3498573720528522,-3.9938438210721223,1.294129076966418,3.027603322330256,-0.6717010788410556,6.726907723501567,overall warnings,
2022-02-14,1.5428495482825852,-0.2440524177800132,3.3297515143451837,-2.4473107134962095,-5.222675741971166,0.3280543149787474,5.113056542826208,-1.3406470361064846,11.5667601217589,overall warnings,
2022-02-15,2.001074570891256,0.4201522167552698,3.5819969250272425,-3.0984556549235127,-5.805555934360136,-0.3913553754868899,2.269966415968594,-0.1673664062736302,4.707299238210818,overall warnings,
2022-02-16,1.4837144432394702,0.02887675268433698,2.9385521337946034,-0.9609957554460776,-3.522720242042423,1.6007287311502676,2.594257532490128,0.3330778862076138,4.855437178772641,overall warnings,
2022-02-17,0.5921896645384945,-1.0600632693205543,2.2444425983975433,1.039372600667157,-1.727937566052126,3.80668276738644,2.29715491708087,-0.12053803291278387,4.714847867074523,overall warnings,
2022-02-18,-0.11328094638396152,-1.6979994157661824,1.4714375229982595,2.068103181463278,-0.9987510318270569,5.134957394753613,2.003804245425354,-0.02529442526017256,4.0329029161108805,overall warnings,
2022-02-19,0.913203038876838,-0.7531919628428332,2.579598040596509,0.13307995984073115,-3.3415085184356084,3.607668438117071,2.377193745664299,-0.3716805608618534,5.126068052190451,overall warnings,
